restaurant,sensitiment_score
에그앤플라워,"(109.0, 21.0, 0.1926605504587156)"
에르바,"(32.0, 10.0, 0.3125)"
엘림들깨수제비칼국수,"(97.0, 29.0, 0.29896907216494845)"
엘비스텍,"(60.0, 4.0, 0.06666666666666667)"
여기가전집,"(34.0, 6.0, 0.17647058823529413)"
여기가좋겠네,"(116.0, 14.0, 0.1206896551724138)"
여기래,"(72.0, 14.0, 0.19444444444444445)"
역촌왕돈까스,"(95.0, 16.0, 0.16842105263157894)"
영동장어,"(157.0, 32.0, 0.20382165605095542)"
영일분식,"(112.0, 31.0, 0.2767857142857143)"
옛날중국집,"(80.0, 31.0, 0.3875)"
옛날할머니분식,"(24.0, 5.0, 0.20833333333333334)"
오복순대국,"(96.0, 19.0, 0.19791666666666666)"
오복정냉면,"(24.0, 4.0, 0.16666666666666666)"
옥경이네건생선,"(98.0, 23.0, 0.23469387755102042)"
옥동식,"(200.0, 24.0, 0.12)"
옥수동 화덕피자,"(115.0, 20.0, 0.17391304347826086)"
옥이네김밥,"(47.0, 3.0, 0.06382978723404255)"
옥천옥,"(88.0, 12.0, 0.13636363636363635)"
올드페리도넛,"(73.0, 20.0, 0.273972602739726)"
옹기종기감자옹심이,"(61.0, 4.0, 0.06557377049180328)"
와룡동닭매운탕,"(54.0, 9.0, 0.16666666666666666)"
완차이,"(94.0, 20.0, 0.2127659574468085)"
우래옥,"(112.0, 33.0, 0.29464285714285715)"
우불식당,"(70.0, 28.0, 0.4)"
우육면관,"(120.0, 12.0, 0.1)"
원디그리노스,"(78.0, 14.0, 0.1794871794871795)"
원조국수전문점,"(24.0, 0.0, 0.0)"
원조누드치즈김밥,"(103.0, 21.0, 0.20388349514563106)"
원조마포할머니빈대떡,"(87.0, 13.0, 0.14942528735632185)"
월래순교자관,"(113.0, 36.0, 0.3185840707964602)"
유정우 함흥냉면,"(112.0, 17.0, 0.15178571428571427)"
유진치킨홍제점,"(36.0, 6.0, 0.16666666666666666)"
육덕등심 본점,"(43.0, 13.0, 0.3023255813953488)"
육장,"(106.0, 27.0, 0.25471698113207547)"
은성순대국,"(115.0, 4.0, 0.034782608695652174)"
은주정,"(125.0, 30.0, 0.24)"
은화계 신당점,"(91.0, 14.0, 0.15384615384615385)"
이가네가마솥설렁탕,"(91.0, 5.0, 0.054945054945054944)"
이문설렁탕,"(98.0, 19.0, 0.19387755102040816)"
이북만두,"(102.0, 26.0, 0.2549019607843137)"
이상향,"(30.0, 0.0, 0.0)"
이이요,"(104.0, 29.0, 0.27884615384615385)"
이태리재,"(114.0, 42.0, 0.3684210526315789)"
이태원양꼬치,"(56.0, 12.0, 0.21428571428571427)"
이포어묵,"(26.0, 8.0, 0.3076923076923077)"
이화감자국,"(34.0, 10.0, 0.29411764705882354)"
인사동 항아리수제비,"(136.0, 16.0, 0.11764705882352941)"
일미간장게장,"(118.0, 29.0, 0.2457627118644068)"
일미식당,"(131.0, 21.0, 0.16030534351145037)"
일미집,"(166.0, 26.0, 0.1566265060240964)"
자코비버거,"(96.0, 33.0, 0.34375)"
장군굴보쌈,"(97.0, 26.0, 0.26804123711340205)"
